exp_id,BEAM_WIDTH,SEED,build_time_s,avg_degree,max_depth,allknn_bw15_recall,allknn_bw15_qps,itest_bw15_recall,itest_bw15_qps,otest_bw15_recall,otest_bw15_qps,wall_time_s,allknn_bw16_recall,allknn_bw16_qps,itest_bw16_recall,itest_bw16_qps,otest_bw16_recall,otest_bw16_qps,allknn_bw32_recall,allknn_bw32_qps,itest_bw32_recall,itest_bw32_qps,otest_bw32_recall,otest_bw32_qps,allknn_bw64_recall,allknn_bw64_qps,itest_bw64_recall,itest_bw64_qps,otest_bw64_recall,otest_bw64_qps,allknn_bw128_recall,allknn_bw128_qps,itest_bw128_recall,itest_bw128_qps,otest_bw128_recall,otest_bw128_qps,allknn_bw256_recall,allknn_bw256_qps,itest_bw256_recall,itest_bw256_qps,otest_bw256_recall,otest_bw256_qps
1,15,42,64.25,43.8,2.0,0.9573,13019.0,0.8684,12116.0,0.8043,11306.0,74.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,15,128,66.59,43.9,3.0,0.9576,13163.0,0.8687,12953.0,0.8056,8767.0,76.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,15,5,68.18,43.7,2.0,0.9576,12274.0,0.8682,11652.0,0.8061,11490.0,78.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,15,23,68.14,43.8,2.0,0.9566,12505.0,0.8682,11311.0,0.8061,11605.0,78.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,15,47,65.98,43.8,2.0,0.9572,12671.0,0.8672,12036.0,0.8066,11770.0,76.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,16,42,65.9,43.8,2.0,,,,,,,76.63,0.9593,11595.0,0.8765,9795.0,0.8146,10953.0,,,,,,,,,,,,,,,,,,,,,,,,
7,16,128,66.15,43.9,3.0,,,,,,,76.7,0.9596,11884.0,0.8767,11804.0,0.8159,9722.0,,,,,,,,,,,,,,,,,,,,,,,,
8,16,5,68.91,43.7,2.0,,,,,,,79.67,0.9595,11531.0,0.8763,11947.0,0.8169,11026.0,,,,,,,,,,,,,,,,,,,,,,,,
9,16,23,70.76,43.8,2.0,,,,,,,81.7,0.9587,10961.0,0.8761,10934.0,0.8162,10621.0,,,,,,,,,,,,,,,,,,,,,,,,
10,16,47,69.7,43.8,2.0,,,,,,,79.88,0.9592,12752.0,0.8759,12467.0,0.8165,10976.0,,,,,,,,,,,,,,,,,,,,,,,,
11,32,42,67.81,43.8,2.0,,,,,,,82.63,,,,,,,0.9768,6648.0,0.9407,7262.0,0.9032,6862.0,,,,,,,,,,,,,,,,,,
12,32,128,66.24,43.9,3.0,,,,,,,80.44,,,,,,,0.977,7226.0,0.941,7370.0,0.9045,6938.0,,,,,,,,,,,,,,,,,,
13,32,5,66.56,43.7,2.0,,,,,,,81.34,,,,,,,0.9767,6611.0,0.9406,7325.0,0.9035,7019.0,,,,,,,,,,,,,,,,,,
14,32,23,66.09,43.8,2.0,,,,,,,80.02,,,,,,,0.9765,7465.0,0.9423,7137.0,0.9049,7064.0,,,,,,,,,,,,,,,,,,
15,32,47,65.26,43.8,2.0,,,,,,,79.14,,,,,,,0.9765,7522.0,0.9406,7458.0,0.903,7095.0,,,,,,,,,,,,,,,,,,
16,64,42,65.98,43.8,2.0,,,,,,,86.97,,,,,,,,,,,,,0.988,4213.0,0.9758,4350.0,0.9571,4204.0,,,,,,,,,,,,
17,64,128,65.31,43.9,3.0,,,,,,,85.43,,,,,,,,,,,,,0.9879,4514.0,0.9751,4389.0,0.9579,4305.0,,,,,,,,,,,,
18,64,5,65.46,43.7,2.0,,,,,,,85.62,,,,,,,,,,,,,0.988,4545.0,0.9757,4443.0,0.957,4320.0,,,,,,,,,,,,
19,64,23,65.31,43.8,2.0,,,,,,,85.55,,,,,,,,,,,,,0.9878,4530.0,0.976,4218.0,0.958,4110.0,,,,,,,,,,,,
20,64,47,65.73,43.8,2.0,,,,,,,86.22,,,,,,,,,,,,,0.9879,4338.0,0.975,4433.0,0.957,4295.0,,,,,,,,,,,,
21,128,42,65.57,43.8,2.0,,,,,,,97.28,,,,,,,,,,,,,,,,,,,0.9944,2587.0,0.9907,2562.0,0.9833,2488.0,,,,,,
22,128,128,65.29,43.9,3.0,,,,,,,97.91,,,,,,,,,,,,,,,,,,,0.9943,2465.0,0.9905,2556.0,0.9835,2499.0,,,,,,
23,128,5,65.97,43.7,2.0,,,,,,,97.39,,,,,,,,,,,,,,,,,,,0.9943,2609.0,0.9907,2583.0,0.9826,2508.0,,,,,,
24,128,23,65.86,43.8,2.0,,,,,,,97.65,,,,,,,,,,,,,,,,,,,0.9942,2549.0,0.9911,2592.0,0.9834,2521.0,,,,,,
25,128,47,65.62,43.8,2.0,,,,,,,97.23,,,,,,,,,,,,,,,,,,,0.9942,2595.0,0.9907,2603.0,0.9834,2459.0,,,,,,
26,256,42,66.72,43.8,2.0,,,,,,,119.9,,,,,,,,,,,,,,,,,,,,,,,,,0.9974,1421.0,0.9964,1500.0,0.994,1437.0
27,256,128,65.37,43.9,3.0,,,,,,,117.4,,,,,,,,,,,,,,,,,,,,,,,,,0.9974,1467.0,0.9964,1517.0,0.994,1435.0
28,256,5,65.78,43.7,2.0,,,,,,,117.54,,,,,,,,,,,,,,,,,,,,,,,,,0.9973,1467.0,0.9964,1531.0,0.9936,1459.0
29,256,23,65.68,43.8,2.0,,,,,,,118.52,,,,,,,,,,,,,,,,,,,,,,,,,0.9974,1475.0,0.9963,1380.0,0.9939,1353.0
30,256,47,66.28,43.8,2.0,,,,,,,119.22,,,,,,,,,,,,,,,,,,,,,,,,,0.9974,1447.0,0.9964,1445.0,0.9938,1439.0
