exp_id,BACK_EDGE,SEED,build_time_s,avg_degree,max_depth,allknn_recall,allknn_qps,itest_recall,itest_qps,otest_recall,otest_qps,wall_time_s
1,0,42,48.76,47.9,2.0,0.9774,6426.0,0.9423,5524.0,0.906,5273.0,64.88
2,0,128,48.85,48.0,3.0,0.9776,6599.0,0.9425,5738.0,0.908,5663.0,64.59
3,0,5,48.73,47.8,2.0,0.9775,6868.0,0.9421,5646.0,0.9065,5636.0,64.35
4,0,23,48.47,47.7,2.0,0.9772,6446.0,0.9432,5930.0,0.9076,5897.0,64.33
5,0,47,48.97,47.9,2.0,0.9772,7725.0,0.9422,7549.0,0.9076,6236.0,63.15
6,1,42,61.72,44.2,2.0,0.9769,6801.0,0.941,6448.0,0.904,6302.0,76.75
7,1,128,61.54,44.3,3.0,0.9771,7220.0,0.9413,7585.0,0.9051,7167.0,75.85
8,1,5,59.63,44.1,2.0,0.9768,7967.0,0.9409,7717.0,0.9041,7355.0,73.15
9,1,23,58.19,44.1,2.0,0.9766,7926.0,0.9426,7747.0,0.9053,7243.0,71.67
10,1,47,58.51,44.2,2.0,0.9766,6947.0,0.941,6321.0,0.9036,6116.0,73.4
